Lead_Id,LeadSource,Industry,Title,Country,NumberOfEmployees,AnnualRevenue,Email_Domain_Type,CreatedDate,Converted
00Q0000055,Social Media,Communications,Manager,Morocco,74,7477000.0,Professionnel,2024-12-06,0
00Q0000056,Social Media,Telecommunications,Manager,France,31,1550000.0,Personnel,2025-08-03,0
00Q0000057,Purchased List,Energy,Manager,Morocco,1393,118925000.0,Professionnel,2026-03-09,1
00Q0000058,Public Relations,Healthcare,C-Level,Morocco,49,2887000.0,Professionnel,2026-01-15,1
00Q0000059,Purchased List,Manufacturing,Individual Contributor,UK,18,911000.0,Professionnel,2025-06-07,0
00Q0000060,Phone Inquiry,Technology,Team Lead,Netherlands,276,27525000.0,Personnel,2025-04-16,0
00Q0000061,Social Media,Communications,Director,Morocco,71,2054000.0,Professionnel,2025-10-23,0
00Q0000062,Webinar,Media,Director,India,67,2909000.0,Professionnel,2024-11-07,1
00Q0000063,Social Media,Manufacturing,Senior Manager,Canada,22,1174000.0,Professionnel,2024-10-27,0
00Q0000064,Web,Healthcare,C-Level,France,238,4610000.0,Personnel,2025-06-20,1
00Q0000065,Social Media,Energy,Director,UAE,34,2558000.0,Professionnel,2025-01-01,1
00Q0000066,Cold Call,Healthcare,Intern,Canada,80,5951000.0,Professionnel,2025-09-29,0
00Q0000067,Employee Referral,Technology,Individual Contributor,Spain,59,1757000.0,Professionnel,2024-11-12,0
00Q0000068,Advertisement,Transportation,Team Lead,Netherlands,200,17827000.0,Professionnel,2026-01-04,0
00Q0000069,Partner Referral,Education,Director,Italy,42,3415000.0,Professionnel,2025-11-19,0
00Q0000070,Cold Call,Healthcare,Individual Contributor,Italy,49,2217000.0,Personnel,2025-05-12,0
00Q0000071,Employee Referral,Food & Beverage,C-Level,UK,13,1048000.0,Personnel,2025-02-24,1
00Q0000072,Advertisement,Consulting,Manager,India,291,28444000.0,Personnel,2026-05-30,0
00Q0000073,Email Campaign,Healthcare,Manager,USA,158,17067000.0,Professionnel,2026-08-02,0
00Q0000074,Trade Show,Transportation,Individual Contributor,Canada,20,2371000.0,Personnel,2025-07-15,0
00Q0000075,Web,Government,Manager,India,18,638000.0,Professionnel,2025-09-11,0
00Q0000076,Cold Call,Technology,Senior Manager,India,68,3546000.0,Professionnel,2025-01-14,0
00Q0000077,Web,Entertainment,Director,USA,120,10936000.0,Personnel,2025-01-15,0
00Q0000078,Phone Inquiry,Retail,Manager,USA,10,886000.0,Professionnel,2026-03-23,1
00Q0000079,Purchased List,Consulting,Intern,USA,131,3725000.0,Personnel,2024-11-12,0
00Q0000080,Partner Referral,Retail,Director,Germany,44,2358000.0,Professionnel,2026-06-27,1
00Q0000081,Social Media,Media,Individual Contributor,Canada,122,7378000.0,Personnel,2026-05-23,0
00Q0000082,Partner Referral,Healthcare,Senior Manager,India,78,3448000.0,Professionnel,2026-06-12,1
00Q0000083,Trade Show,Biotechnology,Senior Manager,USA,17,1520000.0,Professionnel,2026-07-18,0
00Q0000084,Purchased List,Engineering,Senior Manager,UK,394,16429000.0,Professionnel,2024-11-14,0
00Q0000085,Web,Shipping,Individual Contributor,France,62,7685000.0,Personnel,2025-02-24,0
00Q0000086,Webinar,Communications,VP,UK,173,24919000.0,Professionnel,2026-04-25,1
00Q0000087,Web,Energy,Team Lead,France,48,8855000.0,Personnel,2026-04-11,0
00Q0000088,Web,Government,Manager,UK,85,1963000.0,Professionnel,2025-07-04,0
00Q0000089,Employee Referral,Not For Profit,Manager,Netherlands,206,5664000.0,Professionnel,2026-05-08,0
00Q0000090,Cold Call,Retail,Individual Contributor,UK,133,11532000.0,Professionnel,2026-08-27,0
00Q0000091,Phone Inquiry,Food & Beverage,VP,Germany,18,964000.0,Personnel,2025-10-05,0
00Q0000092,Web,Construction,Individual Contributor,Canada,4,285000.0,Professionnel,2025-12-29,0
00Q0000093,Cold Call,Healthcare,Intern,France,956,28612000.0,Professionnel,2024-12-06,0
00Q0000094,Partner Referral,Consulting,VP,Netherlands,74,9347000.0,Professionnel,2026-07-04,1
00Q0000095,Purchased List,Electronics,Team Lead,France,151,8295000.0,Personnel,2026-08-06,0
00Q0000096,Cold Call,Telecommunications,Manager,Morocco,26,1566000.0,Professionnel,2025-06-26,0
00Q0000097,Advertisement,Healthcare,Team Lead,Canada,137,10044000.0,Professionnel,2025-02-23,0
00Q0000098,Advertisement,Manufacturing,Manager,India,313,20695000.0,Professionnel,2024-11-15,0
00Q0000099,Web,Government,Manager,USA,747,163492000.0,Personnel,2025-03-27,0
00Q0000100,Web,Engineering,Director,Spain,415,34877000.0,Personnel,2026-04-12,1
00Q0000101,Webinar,Electronics,Director,Morocco,18,586000.0,Professionnel,2024-10-08,0
00Q0000102,Phone Inquiry,Banking,Intern,Italy,150,8288000.0,Personnel,2025-06-15,0
00Q0000103,Cold Call,Electronics,Individual Contributor,USA,119,24868000.0,Professionnel,2025-07-16,0
00Q0000104,Phone Inquiry,Hospitality,Senior Manager,UAE,1097,69922000.0,Personnel,2026-05-13,0
00Q0000105,Employee Referral,Manufacturing,VP,USA,29,1481000.0,Professionnel,2025-04-21,1
00Q0000106,Purchased List,Technology,VP,France,58,2936000.0,Personnel,2025-05-25,0
00Q0000107,Advertisement,Energy,VP,Netherlands,96,4207000.0,Professionnel,2025-07-15,0
00Q0000108,Trade Show,Banking,Manager,Canada,111,8745000.0,Professionnel,2026-09-16,1
00Q0000109,Phone Inquiry,Technology,Individual Contributor,France,101,4888000.0,Professionnel,2025-08-31,0
00Q0000110,Partner Referral,Media,Individual Contributor,Canada,314,27020000.0,Professionnel,2025-03-07,1
00Q0000111,Email Campaign,Insurance,Intern,UK,5,69000.0,Personnel,2025-10-29,0
00Q0000112,Phone Inquiry,Chemicals,Manager,Morocco,180,5505000.0,Personnel,2025-10-13,0
00Q0000113,Public Relations,Technology,Manager,Italy,9,275000.0,Professionnel,2026-06-25,0
00Q0000114,Web,Education,Manager,Canada,58,4410000.0,Professionnel,2025-07-08,1
00Q0000115,Email Campaign,Retail,Manager,Spain,400,19642000.0,Personnel,2026-04-07,0
00Q0000116,Employee Referral,Hospitality,Manager,UK,55,3924000.0,Personnel,2025-09-03,0
00Q0000117,Phone Inquiry,Energy,Team Lead,India,89,5807000.0,Professionnel,2025-06-18,1
00Q0000118,Email Campaign,Engineering,Team Lead,India,7,760000.0,Professionnel,2025-11-24,0
00Q0000119,Email Campaign,Technology,Manager,Canada,31,934000.0,Professionnel,2024-12-30,0
00Q0000120,Purchased List,Government,Senior Manager,Belgium,64,4185000.0,Professionnel,2026-07-04,0
00Q0000121,Email Campaign,Finance,Individual Contributor,UK,562,21311000.0,Professionnel,2025-10-22,0
00Q0000122,Purchased List,Insurance,Director,India,27,3089000.0,Professionnel,2024-12-27,0
00Q0000123,Email Campaign,Food & Beverage,Senior Manager,USA,399,34749000.0,Professionnel,2026-08-02,1
00Q0000124,Purchased List,Chemicals,Team Lead,France,118,17052000.0,Professionnel,2025-11-12,0
00Q0000125,Cold Call,Retail,Manager,UK,86,6041000.0,Personnel,2025-09-29,0
00Q0000126,Social Media,Education,Intern,UAE,81,3639000.0,Professionnel,2025-08-20,0
00Q0000127,Purchased List,Communications,Director,France,39,5075000.0,Professionnel,2025-08-11,0
00Q0000128,Purchased List,Environmental,Team Lead,Spain,81,6546000.0,Professionnel,2026-05-30,0
00Q0000129,Social Media,Energy,Manager,USA,19,469000.0,Personnel,2025-12-05,0
00Q0000130,Web,Retail,Senior Manager,UK,110,2622000.0,Professionnel,2026-08-07,0
00Q0000131,Purchased List,Not For Profit,Senior Manager,Italy,33,2808000.0,Professionnel,2025-04-14,0
00Q0000132,Phone Inquiry,Media,Intern,Germany,225,28334000.0,Professionnel,2025-05-20,0
00Q0000133,Web,Utilities,Director,USA,109,10297000.0,Personnel,2026-01-12,0
00Q0000134,Public Relations,Insurance,Manager,India,7,278000.0,Personnel,2026-07-16,0
00Q0000135,Advertisement,Not For Profit,Manager,USA,74,5132000.0,Personnel,2024-10-20,0
00Q0000136,Advertisement,Consulting,Manager,UK,106,12692000.0,Professionnel,2026-02-17,1
00Q0000137,Phone Inquiry,Healthcare,Team Lead,France,128,15019000.0,Professionnel,2026-04-21,0
00Q0000138,Phone Inquiry,Retail,Team Lead,France,31,955000.0,Personnel,2024-10-05,0
00Q0000139,Web,Telecommunications,Individual Contributor,Morocco,46,1978000.0,Personnel,2026-04-30,0
00Q0000140,Advertisement,Finance,Team Lead,Netherlands,452,16092000.0,Personnel,2026-06-18,0
00Q0000141,Web,Communications,Senior Manager,India,198,9465000.0,Professionnel,2025-01-08,0
00Q0000142,Partner Referral,Transportation,Team Lead,Canada,72,8503000.0,Professionnel,2026-05-25,1
00Q0000143,Purchased List,Technology,Team Lead,USA,145,11910000.0,Professionnel,2025-07-07,0
00Q0000144,Partner Referral,Transportation,C-Level,Germany,53,2300000.0,Personnel,2025-10-15,1
00Q0000145,Advertisement,Energy,Individual Contributor,Morocco,43,2639000.0,Personnel,2025-11-03,0
00Q0000146,Social Media,Electronics,Individual Contributor,Canada,635,24574000.0,Personnel,2025-03-16,0
00Q0000147,Purchased List,Government,Team Lead,UK,99,3059000.0,Professionnel,2025-04-03,0
00Q0000148,Purchased List,Chemicals,Team Lead,Morocco,79,2474000.0,Professionnel,2025-02-22,0
00Q0000149,Cold Call,Manufacturing,Individual Contributor,Morocco,19,758000.0,Personnel,2024-11-25,0
00Q0000150,Webinar,Communications,Manager,Canada,66,3483000.0,Personnel,2026-09-14,0
00Q0000151,Phone Inquiry,Technology,Manager,Morocco,81,7442000.0,Personnel,2026-09-01,0
00Q0000152,Web,Agriculture,Director,UAE,270,7006000.0,Professionnel,2026-07-22,0
00Q0000153,Email Campaign,Environmental,Individual Contributor,Germany,228,14170000.0,Professionnel,2025-02-24,0
00Q0000154,Partner Referral,Finance,Manager,France,63,5809000.0,Professionnel,2026-04-18,1
00Q0000155,Phone Inquiry,Finance,Team Lead,UAE,82,4209000.0,Professionnel,2025-08-16,0
00Q0000156,Social Media,Construction,Team Lead,USA,35,3287000.0,Personnel,2026-03-09,0
00Q0000157,Email Campaign,Not For Profit,Team Lead,Morocco,286,4984000.0,Personnel,2025-05-15,0
00Q0000158,Purchased List,Insurance,VP,India,51,2766000.0,Professionnel,2025-09-14,0
00Q0000159,Purchased List,Construction,Team Lead,France,55,3577000.0,Professionnel,2025-12-24,0
00Q0000160,Phone Inquiry,Electronics,Intern,Germany,22,736000.0,Personnel,2025-10-07,0
00Q0000161,Cold Call,Telecommunications,Individual Contributor,USA,6,311000.0,Professionnel,2024-11-29,0
00Q0000162,Advertisement,Energy,Manager,UK,10,352000.0,Professionnel,2024-12-03,1
00Q0000163,Web,Technology,Director,USA,98,15773000.0,Personnel,2026-03-18,0
00Q0000164,Phone Inquiry,Not For Profit,Senior Manager,Netherlands,234,11829000.0,Professionnel,2025-02-16,1
00Q0000165,Web,Insurance,Manager,Italy,15,706000.0,Professionnel,2024-09-28,0
00Q0000166,Advertisement,Healthcare,Manager,Canada,96,12298000.0,Professionnel,2026-07-03,1
00Q0000167,Social Media,Manufacturing,Individual Contributor,France,41,4609000.0,Professionnel,2025-02-14,0
00Q0000168,Cold Call,Manufacturing,Individual Contributor,USA,245,9819000.0,Professionnel,2024-12-28,0
00Q0000169,Public Relations,Technology,Director,Canada,56,4018000.0,Professionnel,2026-01-08,1
00Q0000170,Web,Education,Manager,UK,196,8622000.0,Professionnel,2026-05-05,0
00Q0000171,Email Campaign,Communications,Manager,USA,245,9816000.0,Personnel,2025-02-22,0
00Q0000172,Partner Referral,Food & Beverage,Senior Manager,India,28,1664000.0,Professionnel,2025-07-13,1
00Q0000173,Social Media,Healthcare,Senior Manager,Italy,80,2068000.0,Personnel,2025-08-24,0
00Q0000174,Webinar,Healthcare,Senior Manager,Italy,34,1007000.0,Professionnel,2025-02-05,0
00Q0000175,Advertisement,Transportation,Individual Contributor,USA,3,221000.0,Professionnel,2026-01-02,0
00Q0000176,Web,Communications,Team Lead,Italy,83,5413000.0,Personnel,2025-03-10,0
00Q0000177,Advertisement,Manufacturing,Individual Contributor,India,16,395000.0,Professionnel,2024-11-26,0
00Q0000178,Purchased List,Government,Team Lead,USA,94,6841000.0,Professionnel,2025-08-13,0
00Q0000179,Purchased List,Consulting,Manager,Canada,1391,65669000.0,Personnel,2025-04-02,0
00Q0000180,Purchased List,Biotechnology,Senior Manager,Morocco,8,768000.0,Professionnel,2026-01-11,0
00Q0000181,Trade Show,Manufacturing,Team Lead,USA,11,437000.0,Personnel,2025-06-14,0
00Q0000182,Cold Call,Healthcare,Manager,Morocco,31,1749000.0,Personnel,2025-03-26,0
00Q0000183,Partner Referral,Finance,Team Lead,UK,9,715000.0,Professionnel,2026-01-16,1
00Q0000184,Email Campaign,Retail,Director,France,24,592000.0,Personnel,2024-11-26,0
00Q0000185,Advertisement,Education,Individual Contributor,UK,86,3921000.0,Personnel,2025-07-26,1
00Q0000186,Purchased List,Retail,Director,Spain,47,2948000.0,Professionnel,2025-04-28,0
00Q0000187,Webinar,Banking,Individual Contributor,Germany,199,5090000.0,Professionnel,2026-05-20,0
00Q0000188,Social Media,Biotechnology,Manager,Germany,323,12971000.0,Professionnel,2026-02-18,1
00Q0000189,Cold Call,Food & Beverage,Individual Contributor,India,2718,188811000.0,Personnel,2026-05-02,0
00Q0000190,Web,Energy,Team Lead,Morocco,13,3212000.0,Personnel,2025-05-04,0
00Q0000191,Partner Referral,Technology,Individual Contributor,Spain,37,11347000.0,Professionnel,2025-05-06,1
00Q0000192,Cold Call,Electronics,Manager,France,68,3484000.0,Professionnel,2026-02-06,0
00Q0000193,Web,Manufacturing,Senior Manager,Canada,2,102000.0,Personnel,2024-11-22,0
00Q0000194,Web,Manufacturing,Director,Netherlands,290,10652000.0,Personnel,2026-09-08,0
00Q0000195,Advertisement,Government,VP,UK,22,943000.0,Personnel,2026-05-04,0
00Q0000196,Advertisement,Entertainment,VP,USA,28,519000.0,Personnel,2024-12-26,0
00Q0000197,Trade Show,Transportation,Senior Manager,India,406,14557000.0,Professionnel,2025-02-28,1
00Q0000198,Purchased List,Retail,Manager,Germany,16,566000.0,Professionnel,2026-01-15,0
00Q0000199,Web,Technology,Senior Manager,USA,580,22434000.0,Personnel,2026-07-05,1
00Q0000200,Employee Referral,Media,Manager,USA,332,25916000.0,Professionnel,2024-09-29,0
00Q0000201,Advertisement,Transportation,Individual Contributor,USA,35,4543000.0,Professionnel,2025-11-04,1
00Q0000202,Web,Not For Profit,Team Lead,USA,68,4788000.0,Personnel,2026-03-22,0
00Q0000203,Cold Call,Energy,Manager,UK,162,14974000.0,Professionnel,2024-09-18,1
00Q0000204,Web,Entertainment,C-Level,USA,235,48882000.0,Professionnel,2025-04-14,1
00Q0000205,Phone Inquiry,Technology,Manager,UK,957,70454000.0,Professionnel,2025-10-25,0
00Q0000206,Purchased List,Manufacturing,Senior Manager,Italy,14,198000.0,Professionnel,2025-02-28,0
00Q0000207,Web,Telecommunications,Team Lead,Canada,897,67927000.0,Professionnel,2025-07-25,1
00Q0000208,Purchased List,Banking,Manager,USA,19,700000.0,Professionnel,2026-02-19,1
00Q0000209,Phone Inquiry,Banking,Senior Manager,Italy,104,2262000.0,Professionnel,2026-05-07,0
00Q0000210,Web,Retail,Manager,France,194,9013000.0,Professionnel,2025-01-27,0
00Q0000211,Web,Engineering,Senior Manager,USA,73,6889000.0,Personnel,2025-01-08,0
00Q0000212,Email Campaign,Entertainment,Manager,UK,46,3524000.0,Personnel,2026-08-17,0
00Q0000213,Web,Construction,Individual Contributor,USA,201,7167000.0,Personnel,2024-11-26,0
00Q0000214,Web,Utilities,VP,UAE,13,1105000.0,Personnel,2025-10-13,0
00Q0000215,Email Campaign,Technology,Manager,France,57,662000.0,Professionnel,2025-06-18,0
00Q0000216,Advertisement,Chemicals,Director,India,58,1854000.0,Professionnel,2026-02-25,0
00Q0000217,Employee Referral,Finance,Senior Manager,USA,224,20858000.0,Professionnel,2025-10-23,0
00Q0000218,Web,Construction,Individual Contributor,Canada,145,13953000.0,Personnel,2026-03-24,0
00Q0000219,Purchased List,Retail,VP,USA,886,57468000.0,Personnel,2025-05-01,0
00Q0000220,Public Relations,Recreation,Individual Contributor,France,11,420000.0,Personnel,2025-10-04,0
00Q0000221,Webinar,Apparel,Team Lead,USA,69,3262000.0,Professionnel,2025-06-27,0
00Q0000222,Partner Referral,Finance,C-Level,Canada,205,13715000.0,Professionnel,2024-10-12,1
00Q0000223,Trade Show,Utilities,Director,Spain,108,2430000.0,Professionnel,2024-12-02,1
00Q0000224,Advertisement,Manufacturing,Individual Contributor,Canada,327,40192000.0,Professionnel,2026-01-05,0
00Q0000225,Webinar,Construction,Individual Contributor,USA,25,2743000.0,Professionnel,2025-05-15,0
00Q0000226,Partner Referral,Communications,Individual Contributor,Canada,23,2216000.0,Professionnel,2026-06-14,0
00Q0000227,Phone Inquiry,Healthcare,Director,USA,77,3739000.0,Personnel,2025-03-13,0
00Q0000228,Trade Show,Consulting,VP,USA,220,10256000.0,Professionnel,2024-11-09,0
00Q0000229,Email Campaign,Manufacturing,Manager,France,48,1463000.0,Professionnel,2025-09-03,0
00Q0000230,Employee Referral,Hospitality,Director,USA,39,2820000.0,Professionnel,2025-03-12,0
00Q0000231,Purchased List,Machinery,Individual Contributor,Canada,111,4720000.0,Personnel,2026-08-13,0
00Q0000232,Web,Construction,Senior Manager,Canada,21,3062000.0,Personnel,2024-12-14,0
00Q0000233,Trade Show,Telecommunications,Manager,Morocco,202,15447000.0,Professionnel,2024-09-30,1
00Q0000234,Social Media,Environmental,Senior Manager,Canada,202,12995000.0,Professionnel,2025-03-18,0
00Q0000235,Advertisement,Technology,Manager,France,51,4168000.0,Professionnel,2025-10-13,0
00Q0000236,Web,Entertainment,Director,India,15,260000.0,Personnel,2024-10-16,0
00Q0000237,Webinar,Entertainment,Individual Contributor,UK,53,2112000.0,Personnel,2025-05-09,0
00Q0000238,Public Relations,Banking,Individual Contributor,UK,38,3612000.0,Professionnel,2025-09-13,1
00Q0000239,Webinar,Government,Senior Manager,Morocco,44,3023000.0,Professionnel,2025-12-27,1
00Q0000240,Advertisement,Insurance,Individual Contributor,India,8896,1510616000.0,Personnel,2025-12-16,0
00Q0000241,Purchased List,Finance,Senior Manager,UK,18,1451000.0,Personnel,2025-09-25,0
00Q0000242,Partner Referral,Retail,VP,India,108,14342000.0,Professionnel,2025-12-02,1
00Q0000243,Advertisement,Agriculture,Senior Manager,Morocco,53,4298000.0,Personnel,2026-08-22,0
00Q0000244,Email Campaign,Government,Manager,Netherlands,109,8808000.0,Professionnel,2025-05-18,1
00Q0000245,Advertisement,Finance,Director,Belgium,5,417000.0,Personnel,2025-10-09,0
00Q0000246,Social Media,Construction,Individual Contributor,USA,355,25050000.0,Professionnel,2026-07-25,0
00Q0000247,Email Campaign,Agriculture,Director,Netherlands,61,2290000.0,Professionnel,2025-02-11,0
00Q0000248,Phone Inquiry,Hospitality,Director,Spain,22,2732000.0,Professionnel,2025-06-12,1
00Q0000249,Email Campaign,Machinery,Individual Contributor,UK,180,9513000.0,Professionnel,2025-08-31,1
00Q0000250,Partner Referral,Healthcare,Team Lead,Germany,56,3370000.0,Professionnel,2026-08-02,0
00Q0000251,Web,Finance,Intern,USA,2,100000.0,Personnel,2025-07-31,0
00Q0000252,Phone Inquiry,Telecommunications,VP,India,91,15498000.0,Professionnel,2024-12-01,1
00Q0000253,Phone Inquiry,Government,C-Level,Morocco,185,8437000.0,Professionnel,2026-04-14,1
00Q0000254,Public Relations,Retail,Director,USA,101,8629000.0,Personnel,2025-04-12,0
00Q0000255,Email Campaign,Government,Manager,USA,96,7737000.0,Professionnel,2025-04-27,1
00Q0000256,Phone Inquiry,Technology,Individual Contributor,Belgium,124,23956000.0,Professionnel,2025-11-18,0
00Q0000257,Phone Inquiry,Transportation,Manager,France,74,5552000.0,Personnel,2024-12-20,0
00Q0000258,Advertisement,Chemicals,Director,Canada,59,10766000.0,Professionnel,2025-07-13,1
00Q0000259,Webinar,Energy,Individual Contributor,Belgium,56,8822000.0,Professionnel,2025-08-25,0
00Q0000260,Phone Inquiry,Healthcare,Team Lead,Canada,487,26154000.0,Professionnel,2026-07-15,0
00Q0000261,Purchased List,Media,Team Lead,USA,42,3159000.0,Personnel,2026-01-06,0
00Q0000262,Web,Consulting,Director,India,861,52111000.0,Professionnel,2026-04-01,1
00Q0000263,Purchased List,Retail,Manager,Germany,67,3246000.0,Professionnel,2025-04-25,0
00Q0000264,Trade Show,Media,Manager,France,57,4523000.0,Professionnel,2025-04-15,0
00Q0000265,Web,Hospitality,Director,France,17,1463000.0,Professionnel,2025-06-11,0
00Q0000266,Purchased List,Electronics,Team Lead,Morocco,388,25065000.0,Professionnel,2026-04-02,0
00Q0000267,Web,Energy,Team Lead,USA,245,22164000.0,Professionnel,2025-07-20,0
00Q0000268,Purchased List,Education,Manager,UAE,71,4791000.0,Professionnel,2026-07-30,0
00Q0000269,Cold Call,Recreation,Individual Contributor,France,6,422000.0,Personnel,2025-07-16,0
00Q0000270,Partner Referral,Not For Profit,Individual Contributor,Canada,612,19271000.0,Personnel,2025-04-11,1
00Q0000271,Cold Call,Finance,Manager,Germany,132,4861000.0,Personnel,2024-11-21,0
00Q0000272,Webinar,Engineering,Senior Manager,Netherlands,339,89775000.0,Personnel,2024-10-27,1
00Q0000273,Advertisement,Retail,VP,Italy,8,139000.0,Professionnel,2025-11-28,0
00Q0000274,Social Media,Hospitality,Manager,France,103,5431000.0,Personnel,2025-02-19,0
00Q0000275,Social Media,Entertainment,Manager,USA,421,26615000.0,Professionnel,2024-12-21,0
00Q0000276,Partner Referral,Finance,Team Lead,USA,188,15939000.0,Professionnel,2026-03-03,1
00Q0000277,Purchased List,Utilities,VP,India,62,1486000.0,Professionnel,2025-10-14,0
00Q0000278,Partner Referral,Food & Beverage,Senior Manager,USA,459,45556000.0,Personnel,2025-03-03,1
00Q0000279,Partner Referral,Healthcare,Intern,Germany,60,2095000.0,Professionnel,2025-10-13,0
00Q0000280,Email Campaign,Energy,Team Lead,India,156,11111000.0,Professionnel,2026-01-14,0
00Q0000281,Purchased List,Insurance,Manager,France,453,28735000.0,Personnel,2025-08-30,0
